"OSSLT_First_Attempt_PassRate","School_Type","School_Language","Special_Ed_Pct","No_Parent_Degree_Pct","Low_Income_Pct"
84,"Public","English",30,6,13
0,"Public","English",80,5,20
81,"Public","English",20,30,10
76,"Public","English",30,5,10
82,"Public","English",20,3,8
88,"Public","English",19,12,8
80,"Public","English",20,3,7
54,"Public","English",15,17,38
77,"Public","English",18,28,14
79,"Public","English",21,8,19
88,"Public","English",15,3,10
93,"Public","English",17,2,8
88,"Public","English",11,5,20
69,"Public","English",25,10,28
78,"Public","English",25,12,30
34,"Public","English",41,16,39
92,"Catholic","English",20,2,11
92,"Catholic","English",12,5,10
88,"Catholic","English",18,2,5
92,"Catholic","English",19,1,8
94,"Catholic","English",15,2,13
88,"Catholic","English",21,2,8
84,"Catholic","English",12,3,15
90,"Catholic","English",14,1,13
90,"Catholic","English",10,5,15
92,"Catholic","English",13,2,13
93,"Public","English",13,1,16
78,"Public","English",35,0,5
94,"Public","English",18,4,10
94,"Public","English",19,4,15
87,"Public","English",26,4,12
92,"Public","English",21,1,8
89,"Public","English",20,0,20
96,"Public","English",15,1,12
91,"Public","English",33,2,5
96,"Public","English",11,0,14
86,"Public","English",31,3,8
96,"Public","English",16,2,12
88,"Public","English",27,1,8
98,"Public","English",12,0,9
94,"Public","English",22,2,11
92,"Public","English",15,3,15
84,"Catholic","English",15,5,13
83,"Catholic","English",14,4,9
55,"Catholic","English",23,19,32
77,"Catholic","English",13,9,20
83,"Catholic","English",16,8,12
84,"Catholic","English",19,3,12
68,"Catholic","English",10,7,17
88,"Public","English",19,3,8
51,"Public","English",29,22,36
82,"Public","English",28,2,10
73,"Public","English",22,9,26
67,"Public","English",19,10,22
85,"Public","English",16,7,11
79,"Public","English",21,4,12
76,"Public","English",24,7,18
58,"Public","English",35,8,19
52,"Public","English",36,17,30
85,"Public","English",21,2,7
80,"Public","English",18,8,21
90,"Public","English",9,7,16
88,"Public","English",22,6,12
81,"Public","English",28,8,16
76,"Public","English",35,5,20
68,"Public","English",33,7,15
69,"Public","English",30,10,15
76,"Public","English",30,5,15
63,"Public","English",40,10,20
87,"Catholic","English",24,7,9
87,"Catholic","English",21,5,8
80,"Catholic","English",19,6,16
68,"Public","English",25,15,15
79,"Public","English",31,7,16
88,"Public","English",25,4,8
77,"Public","English",30,5,20
81,"Public","English",30,2,8
86,"Public","English",40,0,10
86,"Public","English",30,1,12
82,"Public","English",22,3,6
81,"Public","English",34,1,7
88,"Public","English",30,4,10
77,"Public","English",37,7,21
76,"Public","English",35,10,15
76,"Public","English",40,5,10
77,"Public","English",33,3,13
65,"Public","English",27,7,8
81,"Public","English",28,6,8
80,"Public","English",40,10,20
87,"Public","English",30,15,0
56,"Public","English",25,17,5
80,"Catholic","English",20,5,10
80,"Public","English",21,8,16
81,"Public","English",20,6,15
84,"Public","English",23,7,13
46,"Public","English",90,0,15
78,"Public","English",30,5,10
70,"Public","English",21,7,16
75,"Public","English",24,6,22
58,"Public","English",48,6,20
93,"Public","English",21,2,9
74,"Public","English",32,12,14
80,"Public","English",25,5,10
88,"Public","English",22,2,9
80,"Public","English",25,10,10
78,"Public","English",20,25,10
75,"Public","English",33,13,17
76,"Public","English",37,2,7
79,"Public","English",40,0,5
82,"Public","English",27,3,7
66,"Public","English",40,15,20
83,"Public","English",30,6,23
80,"Public","English",32,2,5
61,"Public","English",33,5,24
83,"Public","English",37,4,14
53,"Public","English",45,15,25
90,"Public","English",37,2,7
81,"Catholic","English",12,9,23
86,"Catholic","English",20,0,10
73,"Catholic","English",20,17,26
90,"Catholic","English",11,4,18
72,"Catholic","English",22,8,22
88,"Catholic","English",21,6,10
76,"Catholic","English",24,8,9
90,"Catholic","English",15,1,10
86,"Catholic","English",13,2,17
63,"Public","English",45,10,20
79,"Public","English",29,4,13
81,"Public","English",40,5,15
82,"Public","English",35,10,20
83,"Public","English",37,5,15
86,"Public","English",28,3,16
90,"Catholic","English",19,2,8
